match_id,duration,win_team,score_r,score_d,skill,w1,w2,w3,w4,w5,l1,l2,l3,l4,l5
6374096907,1613,0,46,12,,Phantom Assassin,Necrophos,Huskar,Weaver,Legion Commander,Ogre Magi,Disruptor,Monkey King,Arc Warden,Lion
6374096909,2013,1,19,34,,Earthshaker,Rubick,Templar Assassin,Centaur Warrunner,Lifestealer,Lina,Bane,Wraith King,Axe,Windranger
6374096912,1167,0,24,11,,Treant Protector,Warlock,Chaos Knight,Necrophos,Slark,Pudge,Legion Commander,Queen of Pain,Templar Assassin,Night Stalker
6374097009,1919,0,34,24,,Treant Protector,Queen of Pain,Windranger,Lifestealer,Kunkka,Ogre Magi,Morphling,Necrophos,Monkey King,Puck
6374097011,2441,0,41,29,,Windranger,Morphling,Dawnbreaker,Lifestealer,Skywrath Mage,Lich,Outworld Devourer,Queen of Pain,Alchemist,Timbersaw
6374097804,2692,1,32,54,,Crystal Maiden,Lion,Undying,Storm Spirit,Spectre,Outworld Devourer,Sniper,Techies,Nature's Prophet,Clinkz
6374097807,1704,1,16,38,,Shadow Fiend,Windranger,Bristleback,Enigma,Ursa,Oracle,Dawnbreaker,Skywrath Mage,Terrorblade,Outworld Devourer
6374097808,2860,1,49,47,,Dazzle,Invoker,Anti-Mage,Vengeful Spirit,Zeus,Pudge,Skywrath Mage,Ancient Apparition,Dark Willow,Phantom Assassin
6374097817,2826,0,50,35,,Disruptor,Sniper,Dawnbreaker,Lina,Bristleback,Keeper of the Light,Nature's Prophet,Invoker,Shadow Fiend,Juggernaut
6374097906,1696,0,40,19,,Zeus,Marci,Sven,Shadow Shaman,Invoker,Dragon Knight,Jakiro,Spirit Breaker,Luna,Void Spirit
6374097910,2747,1,44,60,,Pudge,Bloodseeker,Drow Ranger,Faceless Void,Shadow Fiend,Witch Doctor,Silencer,Shadow Shaman,Void Spirit,Wraith King
6374098609,2555,0,42,31,,Hoodwink,Dazzle,Bristleback,Outworld Devourer,Wraith King,Grimstroke,Zeus,Tidehunter,Faceless Void,Sniper
6374098613,3115,1,26,56,,Ember Spirit,Earthshaker,Spirit Breaker,Phoenix,Lifestealer,Hoodwink,Slardar,Huskar,Lich,Drow Ranger
6374098616,1961,1,25,43,,Clockwerk,Necrophos,Axe,Wraith King,Outworld Devourer,Enigma,Rubick,Slardar,Phantom Assassin,Invoker
6374098618,2144,0,46,15,,Outworld Devourer,Phantom Assassin,Invoker,Lion,Wraith King,Pugna,Axe,Disruptor,Juggernaut,Clinkz
6374098619,2074,1,35,31,,Phoenix,Lion,Spirit Breaker,Phantom Assassin,Leshrac,Lina,Oracle,Luna,Marci,Legion Commander
6374098704,2938,0,37,35,,Dazzle,Monkey King,Luna,Queen of Pain,Silencer,Invoker,Lich,Mirana,Dawnbreaker,Drow Ranger
6374098713,1965,1,19,45,,Warlock,Lion,Phantom Assassin,Magnus,Legion Commander,Bristleback,Shadow Shaman,Weaver,Tusk,Sven
6374098715,2272,1,36,42,,Pudge,Axe,Clinkz,Lich,Templar Assassin,Witch Doctor,Tinker,Drow Ranger,Ogre Magi,Bristleback
6374098717,2781,0,46,50,,Marci,Dark Willow,Outworld Devourer,Shadow Fiend,Phantom Lancer,Dawnbreaker,Rubick,Sand King,Anti-Mage,Queen of Pain
6374098801,1951,0,41,24,,Shadow Fiend,Lich,Venomancer,Juggernaut,Outworld Devourer,Lion,Windranger,Slark,Timbersaw,Silencer
6374099706,2486,1,24,68,,Earthshaker,Silencer,Ursa,Dawnbreaker,Windranger,Crystal Maiden,Pudge,Kunkka,Alchemist,Shadow Fiend
6374099713,1936,1,15,40,,Ogre Magi,Venomancer,Legion Commander,Invoker,Drow Ranger,Necrophos,Lion,Grimstroke,Slark,Razor
6374099719,3002,0,36,34,,Juggernaut,Monkey King,Timbersaw,Techies,Clinkz,Centaur Warrunner,Dawnbreaker,Windranger,Pugna,Ursa
6374099816,3083,1,28,41,,Mirana,Tidehunter,Luna,Storm Spirit,Earthshaker,Elder Titan,Ogre Magi,Gyrocopter,Mars,Rubick
6374099900,2180,0,53,22,,Shadow Shaman,Timbersaw,Tusk,Tinker,Sven,Legion Commander,Invoker,Slark,Enigma,Marci
6374099902,2693,1,40,52,,Undying,Terrorblade,Bloodseeker,Puck,Shadow Demon,Enigma,Invoker,Tiny,Ancient Apparition,Earthshaker
6374099904,3680,1,62,50,,Winter Wyvern,Faceless Void,Crystal Maiden,Shadow Fiend,Centaur Warrunner,Void Spirit,Enigma,Ember Spirit,Riki,Wraith King
6374099905,3032,0,63,52,,Spirit Breaker,Bristleback,Enigma,Drow Ranger,Jakiro,Windranger,Gyrocopter,Templar Assassin,Marci,Venomancer
6374099908,2346,0,46,23,,Rubick,Clockwerk,Timbersaw,Invoker,Luna,Earthshaker,Slardar,Bounty Hunter,Sniper,Jakiro
6374100503,4813,0,69,71,,Crystal Maiden,Axe,Storm Spirit,Silencer,Sand King,Sniper,Ancient Apparition,Tidehunter,Hoodwink,Drow Ranger
6374100509,2287,0,40,32,,Shadow Shaman,Windranger,Rubick,Morphling,Timbersaw,Magnus,Tidehunter,Earthshaker,Ogre Magi,Phantom Lancer
6374100510,2406,1,36,42,,Shadow Shaman,Dazzle,Anti-Mage,Zeus,Wraith King,Undying,Witch Doctor,Timbersaw,Luna,Windranger
6374100516,2019,0,37,30,,Ogre Magi,Crystal Maiden,Leshrac,Invoker,Anti-Mage,Morphling,Zeus,Slardar,Queen of Pain,Abaddon
6374100518,2741,1,39,50,,Lich,Disruptor,Puck,Wraith King,Axe,Storm Spirit,Pudge,Legion Commander,Juggernaut,Queen of Pain
6374100519,2540,1,51,49,,Lina,Witch Doctor,Timbersaw,Wraith King,Silencer,Venomancer,Sand King,Juggernaut,Lion,Drow Ranger
6374100602,2101,1,27,50,,Zeus,Magnus,Io,Juggernaut,Shadow Fiend,Ogre Magi,Nyx Assassin,Phantom Assassin,Wraith King,Void Spirit
6374100604,3373,0,55,60,,Tusk,Lion,Anti-Mage,Puck,Mars,Marci,Magnus,Rubick,Bloodseeker,Dragon Knight
6374100616,2538,0,41,27,,Spirit Breaker,Shadow Shaman,Storm Spirit,Bristleback,Morphling,Mirana,Dazzle,Riki,Axe,Puck
6374101506,1764,1,8,27,,Treant Protector,Crystal Maiden,Legion Commander,Spectre,Tinker,Faceless Void,Skywrath Mage,Slark,Phoenix,Alchemist
6374101507,2174,0,52,29,,Pudge,Ursa,Death Prophet,Legion Commander,Snapfire,Jakiro,Skywrath Mage,Silencer,Nature's Prophet,Phantom Assassin
6374101508,2427,1,43,65,,Shadow Shaman,Void Spirit,Zeus,Dawnbreaker,Slark,Pudge,Rubick,Kunkka,Ogre Magi,Legion Commander
6374101607,2548,1,38,46,,Snapfire,Bane,Mars,Luna,Ember Spirit,Mirana,Grimstroke,Wraith King,Tinker,Bounty Hunter
6374101612,1386,1,7,27,,Silencer,Bristleback,Slark,Weaver,Leshrac,Enchantress,Centaur Warrunner,Phantom Assassin,Ancient Apparition,Storm Spirit
6374102301,2217,1,19,38,,Phantom Assassin,Beastmaster,Riki,Lifestealer,Doom,Shadow Shaman,Slark,Bristleback,Arc Warden,Luna
6374102304,1820,0,36,22,,Lich,Weaver,Bristleback,Medusa,Monkey King,Io,Grimstroke,Disruptor,Sand King,Ursa
6374102306,2832,0,43,28,,Ogre Magi,Spirit Breaker,Mars,Gyrocopter,Windranger,Viper,Rubick,Pugna,Spectre,Void Spirit
6374102311,2161,0,55,31,,Ancient Apparition,Ogre Magi,Sniper,Doom,Void Spirit,Undying,Winter Wyvern,Treant Protector,Juggernaut,Invoker
6374102314,2449,1,36,54,,Undying,Weaver,Windranger,Anti-Mage,Tinker,Witch Doctor,Mars,Lion,Slark,Invoker
6374102406,3395,0,52,57,,Lina,Vengeful Spirit,Elder Titan,Slark,Void Spirit,Tusk,Ancient Apparition,Legion Commander,Storm Spirit,Weaver
6374102407,1815,0,49,24,,Skywrath Mage,Earth Spirit,Spirit Breaker,Clinkz,Bristleback,Pangolier,Earthshaker,Techies,Phantom Assassin,Viper
6374102409,2706,0,43,43,,Ancient Apparition,Phoenix,Void Spirit,Marci,Faceless Void,Windranger,Juggernaut,Grimstroke,Elder Titan,Ember Spirit
6374102417,1347,1,15,42,,Spirit Breaker,Disruptor,Phantom Assassin,Outworld Devourer,Axe,Mirana,Dazzle,Tusk,Invoker,Ursa
6374102419,2810,1,36,41,,Shadow Shaman,Alchemist,Rubick,Drow Ranger,Chaos Knight,Lion,Legion Commander,Nature's Prophet,Faceless Void,Vengeful Spirit
6374103009,2168,0,34,22,,Ogre Magi,Snapfire,Phantom Assassin,Legion Commander,Queen of Pain,Silencer,Witch Doctor,Bounty Hunter,Shadow Fiend,Ursa
6374103016,2600,0,59,40,,Shadow Fiend,Legion Commander,Omniknight,Juggernaut,Necrophos,Dark Willow,Crystal Maiden,Drow Ranger,Huskar,Skywrath Mage
6374103111,2578,0,52,36,,Huskar,Pudge,Rubick,Kunkka,Slark,Void Spirit,Earthshaker,Shadow Shaman,Ursa,Timbersaw
6374103114,2907,0,39,33,,Grimstroke,Skywrath Mage,Lifestealer,Kunkka,Zeus,Rubick,Techies,Legion Commander,Outworld Devourer,Slark
6374103116,1736,1,6,53,,Spirit Breaker,Witch Doctor,Lifestealer,Sniper,Bounty Hunter,Venomancer,Drow Ranger,Mirana,Dazzle,Kunkka
6374103117,1642,0,41,17,,Pudge,Shadow Shaman,Wraith King,Faceless Void,Puck,Lina,Spirit Breaker,Nature's Prophet,Juggernaut,Kunkka
6374103118,3978,1,57,78,,Mirana,Clockwerk,Queen of Pain,Phantom Assassin,Axe,Grimstroke,Lich,Drow Ranger,Chaos Knight,Kunkka
6374103912,2685,1,42,43,,Mirana,Windranger,Dragon Knight,Witch Doctor,Faceless Void,Dazzle,Grimstroke,Pugna,Phantom Assassin,Centaur Warrunner
6374104004,4156,1,61,56,,Mars,Disruptor,Timbersaw,Lifestealer,Sniper,Pudge,Tidehunter,Faceless Void,Invoker,Monkey King
6374104007,2687,1,55,51,,Shadow Shaman,Mirana,Razor,Death Prophet,Spectre,Outworld Devourer,Jakiro,Nature's Prophet,Drow Ranger,Storm Spirit
6374104014,2046,0,68,28,,Hoodwink,Pudge,Slardar,Void Spirit,Weaver,Marci,Winter Wyvern,Ancient Apparition,Sand King,Juggernaut
6374104500,2553,1,33,37,,Witch Doctor,Silencer,Phantom Assassin,Mirana,Sand King,Jakiro,Crystal Maiden,Tusk,Storm Spirit,Slark
6374104506,3017,0,55,51,,Shadow Shaman,Clockwerk,Tinker,Tidehunter,Faceless Void,Magnus,Silencer,Ursa,Brewmaster,Void Spirit
6374104510,2249,1,25,46,,Ogre Magi,Queen of Pain,Tusk,Bane,Medusa,Axe,Silencer,Riki,Undying,Sand King
6374104518,2721,1,33,73,,Nyx Assassin,Witch Doctor,Bloodseeker,Undying,Lina,Venomancer,Dark Willow,Sniper,Spirit Breaker,Faceless Void
6374104519,2211,0,47,17,,Spirit Breaker,Bristleback,Zeus,Weaver,Lina,Lion,Sniper,Mars,Invoker,Anti-Mage
6374104601,1897,0,36,26,,Venomancer,Pugna,Pudge,Troll Warlord,Shadow Fiend,Mirana,Sniper,Wraith King,Faceless Void,Alchemist
6374104603,2375,0,65,47,,Pudge,Phantom Assassin,Outworld Devourer,Night Stalker,Weaver,Disruptor,Tusk,Axe,Ursa,Lion
6374105101,2099,1,20,40,,Rubick,Monkey King,Death Prophet,Drow Ranger,Legion Commander,Bounty Hunter,Jakiro,Juggernaut,Snapfire,Sniper
6374105103,2261,0,42,37,,Shadow Shaman,Jakiro,Windranger,Medusa,Terrorblade,Razor,Spirit Breaker,Lion,Doom,Legion Commander
6374105109,3744,1,70,63,,Clockwerk,Grimstroke,Storm Spirit,Anti-Mage,Timbersaw,Bounty Hunter,Rubick,Wraith King,Gyrocopter,Medusa
6374105112,1534,1,10,21,,Winter Wyvern,Alchemist,Dazzle,Timbersaw,Naga Siren,Bounty Hunter,Crystal Maiden,Troll Warlord,Techies,Magnus
6374105113,2135,1,21,38,,Outworld Devourer,Slardar,Bounty Hunter,Ogre Magi,Juggernaut,Windranger,Pudge,Medusa,Shadow Fiend,Tiny
6374105115,2217,1,28,42,,Snapfire,Bristleback,Lifestealer,Ogre Magi,Drow Ranger,Zeus,Queen of Pain,Treant Protector,Legion Commander,Troll Warlord
6374105204,2706,0,45,43,,Sniper,Clinkz,Treant Protector,Morphling,Necrophos,Spirit Breaker,Tidehunter,Phantom Assassin,Earthshaker,Invoker
6374105205,2477,0,46,25,,Tusk,Silencer,Windranger,Slardar,Spectre,Necrophos,Sniper,Timbersaw,Faceless Void,Crystal Maiden
6374105403,2709,0,38,27,,Rubick,Huskar,Centaur Warrunner,Faceless Void,Puck,Jakiro,Axe,Shadow Demon,Slark,Sniper
6374105405,2482,1,35,72,,Hoodwink,Faceless Void,Pudge,Kunkka,Zeus,Rubick,Nyx Assassin,Mars,Ursa,Puck
6374105412,1470,0,31,6,,Lich,Gyrocopter,Windranger,Phantom Lancer,Snapfire,Hoodwink,Viper,Keeper of the Light,Slark,Shadow Fiend
6374105413,2452,0,48,26,,Invoker,Venomancer,Clockwerk,Kunkka,Faceless Void,Night Stalker,Ogre Magi,Anti-Mage,Sniper,Earthshaker
6374105415,2100,1,7,31,,Snapfire,Dazzle,Tinker,Witch Doctor,Phantom Assassin,Jakiro,Death Prophet,Medusa,Faceless Void,Ember Spirit
6374105500,2534,1,40,39,,Ogre Magi,Nyx Assassin,Luna,Lifestealer,Morphling,Silencer,Dawnbreaker,Pudge,Sniper,Ursa
6374105507,2471,1,36,46,,Omniknight,Huskar,Bounty Hunter,Phantom Assassin,Storm Spirit,Oracle,Queen of Pain,Lina,Dragon Knight,Phantom Lancer
6374105509,1716,0,48,21,,Winter Wyvern,Rubick,Silencer,Faceless Void,Monkey King,Jakiro,Snapfire,Skywrath Mage,Shadow Shaman,Drow Ranger
6374105605,3688,0,44,44,,Dazzle,Tinker,Alchemist,Sniper,Faceless Void,Silencer,Undying,Spirit Breaker,Juggernaut,Outworld Devourer
6374105801,2458,1,36,51,,Rubick,Shadow Shaman,Slark,Phoenix,Shadow Fiend,Witch Doctor,Warlock,Faceless Void,Legion Commander,Marci
6374105900,2022,0,38,17,,Ancient Apparition,Techies,Wraith King,Huskar,Puck,Zeus,Hoodwink,Sniper,Skywrath Mage,Anti-Mage
6374105917,2200,0,39,40,,Dark Willow,Luna,Snapfire,Pangolier,Axe,Ancient Apparition,Troll Warlord,Doom,Ember Spirit,Timbersaw
6374106400,2133,0,49,18,,Queen of Pain,Chaos Knight,Ancient Apparition,Tinker,Spectre,Huskar,Treant Protector,Luna,Earthshaker,Sniper
6374106406,2637,0,52,31,,Monkey King,Crystal Maiden,Disruptor,Pudge,Juggernaut,Bane,Legion Commander,Templar Assassin,Riki,Invoker
6374106409,1776,1,20,35,,Mirana,Ancient Apparition,Pangolier,Wraith King,Pugna,Invoker,Jakiro,Legion Commander,Queen of Pain,Ursa
6374106411,2346,1,37,42,,Hoodwink,Lina,Crystal Maiden,Magnus,Luna,Sniper,Shadow Shaman,Dragon Knight,Queen of Pain,Witch Doctor
6374106414,2225,0,56,18,,Disruptor,Pudge,Snapfire,Faceless Void,Skywrath Mage,Grimstroke,Necrophos,Sniper,Nature's Prophet,Phantom Assassin
6374106417,2040,0,28,25,,Io,Enigma,Windranger,Dragon Knight,Drow Ranger,Marci,Lone Druid,Weaver,Phantom Assassin,Magnus
6374106510,2461,0,28,36,,Bounty Hunter,Pudge,Ursa,Sniper,Beastmaster,Outworld Devourer,Tidehunter,Bloodseeker,Techies,Necrophos
6374106512,2972,0,34,27,,Snapfire,Pangolier,Dazzle,Monkey King,Kunkka,Phoenix,Dragon Knight,Windranger,Spectre,Void Spirit
6374107301,3816,0,65,55,,Zeus,Phantom Lancer,Huskar,Oracle,Bloodseeker,Disruptor,Necrophos,Sand King,Faceless Void,Earthshaker
6374107302,4001,0,62,64,,Ursa,Disruptor,Arc Warden,Weaver,Bloodseeker,Pudge,Treant Protector,Slardar,Slark,Skywrath Mage
6374107402,2390,1,22,45,,Outworld Devourer,Lion,Naga Siren,Legion Commander,Luna,Bane,Sniper,Centaur Warrunner,Lifestealer,Lone Druid
6374107403,2102,1,35,41,,Rubick,Timbersaw,Snapfire,Lifestealer,Morphling,Lion,Legion Commander,Marci,Chaos Knight,Juggernaut
6374107411,2512,1,26,37,,Bloodseeker,Sniper,Puck,Sand King,Spirit Breaker,Pudge,Crystal Maiden,Bounty Hunter,Wraith King,Grimstroke
6374107417,2783,1,24,38,,Winter Wyvern,Slardar,Spirit Breaker,Weaver,Viper,Dazzle,Lion,Abaddon,Drow Ranger,Terrorblade
6374108002,2605,0,58,29,,Shadow Shaman,Death Prophet,Drow Ranger,Bloodseeker,Medusa,Sniper,Tidehunter,Techies,Spirit Breaker,Puck
6374108003,1904,0,26,8,,Snapfire,Dazzle,Naga Siren,Magnus,Wraith King,Beastmaster,Ursa,Necrophos,Leshrac,Shadow Shaman
6374108007,2563,0,43,40,,Ogre Magi,Weaver,Void Spirit,Shadow Demon,Arc Warden,Disruptor,Monkey King,Centaur Warrunner,Spirit Breaker,Huskar
6374108013,2205,0,37,28,,Rubick,Undying,Underlord,Luna,Outworld Devourer,Skywrath Mage,Ancient Apparition,Legion Commander,Lina,Morphling
6374108102,2065,0,49,22,,Silencer,Zeus,Elder Titan,Queen of Pain,Luna,Skywrath Mage,Undying,Razor,Sniper,Sven
6374108113,3250,0,60,59,,Venomancer,Disruptor,Axe,Sniper,Slark,Crystal Maiden,Snapfire,Bounty Hunter,Mirana,Drow Ranger
6374108116,2445,0,36,18,,Treant Protector,Phoenix,Sand King,Luna,Monkey King,Nature's Prophet,Silencer,Alchemist,Phantom Assassin,Queen of Pain
6374108713,2711,1,37,46,,Ogre Magi,Monkey King,Night Stalker,Marci,Ember Spirit,Lion,Lifestealer,Windranger,Mirana,Viper
6374108714,3352,0,47,53,,Shadow Shaman,Crystal Maiden,Tidehunter,Bloodseeker,Spectre,Mirana,Witch Doctor,Mars,Kunkka,Troll Warlord
6374108715,2673,0,52,39,,Grimstroke,Ursa,Bounty Hunter,Medusa,Venomancer,Elder Titan,Treant Protector,Phantom Assassin,Kunkka,Batrider
6374108718,2252,1,25,54,,Weaver,Mirana,Venomancer,Queen of Pain,Slark,Treant Protector,Earthshaker,Juggernaut,Lifestealer,Zeus
6374108804,1991,1,26,46,,Ursa,Shadow Fiend,Enigma,Undying,Lion,Abaddon,Ember Spirit,Spirit Breaker,Phantom Assassin,Rubick
6374108810,3116,1,55,57,,Pudge,Jakiro,Ogre Magi,Tidehunter,Anti-Mage,Shadow Shaman,Slark,Bounty Hunter,Sniper,Zeus
6374108811,2457,1,35,37,,Queen of Pain,Doom,Naga Siren,Pugna,Razor,Slardar,Pangolier,Lion,Dawnbreaker,Templar Assassin
6374108817,1585,1,7,30,,Jakiro,Snapfire,Sand King,Puck,Drow Ranger,Lion,Queen of Pain,Underlord,Spirit Breaker,Anti-Mage
6374108818,2009,1,26,49,,Dazzle,Shadow Demon,Disruptor,Phantom Assassin,Templar Assassin,Hoodwink,Lich,Treant Protector,Medusa,Kunkka
6374109505,3598,1,52,68,,Grimstroke,Pudge,Viper,Jakiro,Medusa,Rubick,Axe,Witch Doctor,Arc Warden,Alchemist
6374109506,2030,0,40,27,,Lina,Lich,Void Spirit,Mars,Alchemist,Lion,Monkey King,Brewmaster,Slark,Outworld Devourer
6374109508,2325,1,21,68,,Windranger,Huskar,Treant Protector,Zeus,Monkey King,Keeper of the Light,Phantom Assassin,Doom,Ancient Apparition,Luna
6374109510,2150,0,46,28,,Treant Protector,Disruptor,Windranger,Legion Commander,Morphling,Lion,Pudge,Invoker,Juggernaut,Magnus
6374109512,1877,0,37,23,,Mars,Ancient Apparition,Void Spirit,Abaddon,Juggernaut,Shadow Shaman,Drow Ranger,Ogre Magi,Invoker,Legion Commander
6374109513,1491,0,28,0,,Luna,Timbersaw,Outworld Devourer,Queen of Pain,Mirana,Lion,Faceless Void,Ogre Magi,Wraith King,Death Prophet
6374109517,2344,0,45,29,,Snapfire,Dark Seer,Jakiro,Wraith King,Puck,Hoodwink,Grimstroke,Enigma,Medusa,Batrider
6374109518,3195,0,42,28,,Pudge,Necrophos,Disruptor,Monkey King,Drow Ranger,Sniper,Timbersaw,Slark,Doom,Nature's Prophet
6374109602,1575,1,9,34,,Anti-Mage,Lion,Grimstroke,Mirana,Templar Assassin,Shadow Shaman,Jakiro,Faceless Void,Legion Commander,Ember Spirit
6374109611,2379,1,39,39,,Bounty Hunter,Marci,Tinker,Viper,Lifestealer,Ogre Magi,Luna,Rubick,Pangolier,Zeus
6374109615,3149,1,53,67,,Spirit Breaker,Anti-Mage,Witch Doctor,Bounty Hunter,Tinker,Venomancer,Dark Willow,Queen of Pain,Shadow Fiend,Centaur Warrunner
6374110300,2376,1,32,48,,Ogre Magi,Bounty Hunter,Ember Spirit,Slardar,Juggernaut,Zeus,Dark Willow,Void Spirit,Monkey King,Tidehunter
6374110312,2266,0,34,32,,Nature's Prophet,Techies,Phantom Assassin,Storm Spirit,Pudge,Bristleback,Vengeful Spirit,Axe,Weaver,Invoker
6374110313,2528,0,47,34,,Windranger,Treant Protector,Pugna,Spectre,Riki,Invoker,Zeus,Dark Willow,Juggernaut,Sand King
6374110408,2720,0,39,40,,Sniper,Warlock,Undying,Anti-Mage,Timbersaw,Dark Willow,Earth Spirit,Phantom Lancer,Pugna,Death Prophet
6374110417,2365,0,50,24,,Tinker,Treant Protector,Clinkz,Shadow Fiend,Silencer,Nyx Assassin,Bane,Mars,Anti-Mage,Huskar
6374110419,2653,0,41,34,,Medusa,Troll Warlord,Death Prophet,Void Spirit,Enchantress,Sniper,Bounty Hunter,Wraith King,Sand King,Alchemist
6374111102,1923,0,47,17,,Snapfire,Legion Commander,Ursa,Ogre Magi,Batrider,Phoenix,Lina,Underlord,Terrorblade,Windranger
6374111114,2538,0,45,40,,Grimstroke,Ogre Magi,Luna,Sniper,Axe,Magnus,Dazzle,Riki,Chaos Knight,Troll Warlord
6374111116,895,1,0,14,,Lion,Skywrath Mage,Weaver,Ursa,Void Spirit,Snapfire,Pudge,Marci,Juggernaut,Tiny
6374111814,3673,1,38,56,,Queen of Pain,Techies,Spirit Breaker,Phantom Lancer,Mirana,Lion,Rubick,Huskar,Troll Warlord,Windranger
6374111819,1837,0,29,19,,Legion Commander,Ogre Magi,Templar Assassin,Winter Wyvern,Phantom Assassin,Techies,Jakiro,Pudge,Alchemist,Lifestealer
6374111902,3992,0,61,56,,Lich,Warlock,Anti-Mage,Spirit Breaker,Outworld Devourer,Venomancer,Sniper,Zeus,Monkey King,Hoodwink
6374111907,2137,1,27,51,,Mirana,Jakiro,Slark,Mars,Outworld Devourer,Windranger,Shadow Shaman,Centaur Warrunner,Tinker,Faceless Void
6374111918,2796,0,58,56,,Tinker,Earthshaker,Undying,Treant Protector,Drow Ranger,Pudge,Marci,Witch Doctor,Windranger,Wraith King
6374112603,2204,0,61,23,,Techies,Venomancer,Magnus,Slark,Pudge,Witch Doctor,Sniper,Bane,Wraith King,Lifestealer
6374112605,2477,1,36,44,,Lion,Pudge,Lifestealer,Sand King,Faceless Void,Lina,Legion Commander,Enigma,Puck,Medusa
6374112609,3190,1,60,49,,Bounty Hunter,Shadow Demon,Alchemist,Monkey King,Silencer,Phantom Assassin,Weaver,Invoker,Crystal Maiden,Mirana
6374112618,2866,1,29,34,,Necrophos,Dazzle,Viper,Medusa,Pangolier,Techies,Winter Wyvern,Luna,Centaur Warrunner,Nyx Assassin
6374112702,1853,1,13,45,,Treant Protector,Enigma,Void Spirit,Mars,Magnus,Bane,Ogre Magi,Anti-Mage,Sand King,Templar Assassin
6374112705,782,0,4,2,,Monkey King,Keeper of the Light,Earthshaker,Phoenix,Morphling,Night Stalker,Dawnbreaker,Marci,Io,Juggernaut
6374112706,2776,0,61,48,,Ogre Magi,Tiny,Sven,Doom,Windranger,Jakiro,Dazzle,Spirit Breaker,Faceless Void,Dragon Knight
