hid1,hid2,hero1,hero2,win_no,lose_no,game_no,win_rate
35,91,Sniper,Io,1.0,0.0,1.0,1.0
83,102,Treant Protector,Abaddon,3.0,0.0,3.0,1.0
35,109,Sniper,Terrorblade,1.0,0.0,1.0,1.0
34,109,Tinker,Terrorblade,1.0,0.0,1.0,1.0
11,92,Shadow Fiend,Visage,1.0,0.0,1.0,1.0
36,43,Necrophos,Death Prophet,1.0,0.0,1.0,1.0
34,90,Tinker,Keeper of the Light,1.0,0.0,1.0,1.0
12,19,Phantom Lancer,Tiny,1.0,0.0,1.0,1.0
84,89,Ogre Magi,Naga Siren,1.0,0.0,1.0,1.0
33,111,Enigma,Oracle,1.0,0.0,1.0,1.0
33,113,Enigma,Arc Warden,2.0,0.0,2.0,1.0
33,135,Enigma,Dawnbreaker,2.0,0.0,2.0,1.0
34,43,Tinker,Death Prophet,1.0,0.0,1.0,1.0
83,136,Treant Protector,Marci,4.0,0.0,4.0,1.0
34,47,Tinker,Viper,3.0,0.0,3.0,1.0
11,120,Shadow Fiend,Pangolier,1.0,0.0,1.0,1.0
34,57,Tinker,Omniknight,1.0,0.0,1.0,1.0
11,113,Shadow Fiend,Arc Warden,1.0,0.0,1.0,1.0
11,109,Shadow Fiend,Terrorblade,2.0,0.0,2.0,1.0
34,75,Tinker,Silencer,1.0,0.0,1.0,1.0
34,78,Tinker,Brewmaster,1.0,0.0,1.0,1.0
34,88,Tinker,Nyx Assassin,4.0,0.0,4.0,1.0
36,37,Necrophos,Warlock,2.0,0.0,2.0,1.0
36,49,Necrophos,Dragon Knight,1.0,0.0,1.0,1.0
37,82,Warlock,Meepo,1.0,0.0,1.0,1.0
83,86,Treant Protector,Rubick,3.0,0.0,3.0,1.0
37,46,Warlock,Templar Assassin,1.0,0.0,1.0,1.0
82,111,Meepo,Oracle,1.0,0.0,1.0,1.0
10,97,Morphling,Magnus,1.0,0.0,1.0,1.0
37,51,Warlock,Clockwerk,1.0,0.0,1.0,1.0
37,54,Warlock,Lifestealer,1.0,0.0,1.0,1.0
82,110,Meepo,Phoenix,1.0,0.0,1.0,1.0
82,107,Meepo,Earth Spirit,1.0,0.0,1.0,1.0
37,60,Warlock,Night Stalker,2.0,0.0,2.0,1.0
37,63,Warlock,Weaver,2.0,0.0,2.0,1.0
37,64,Warlock,Jakiro,2.0,0.0,2.0,1.0
37,66,Warlock,Chen,1.0,0.0,1.0,1.0
100,128,Tusk,Snapfire,2.0,0.0,2.0,1.0
10,78,Morphling,Brewmaster,1.0,0.0,1.0,1.0
37,72,Warlock,Gyrocopter,2.0,0.0,2.0,1.0
37,80,Warlock,Lone Druid,1.0,0.0,1.0,1.0
82,112,Meepo,Winter Wyvern,1.0,0.0,1.0,1.0
36,120,Necrophos,Pangolier,1.0,0.0,1.0,1.0
11,34,Shadow Fiend,Tinker,1.0,0.0,1.0,1.0
100,119,Tusk,Dark Willow,1.0,0.0,1.0,1.0
36,57,Necrophos,Omniknight,1.0,0.0,1.0,1.0
36,65,Necrophos,Batrider,1.0,0.0,1.0,1.0
36,66,Necrophos,Chen,3.0,0.0,3.0,1.0
36,73,Necrophos,Alchemist,1.0,0.0,1.0,1.0
36,89,Necrophos,Naga Siren,2.0,0.0,2.0,1.0
83,90,Treant Protector,Keeper of the Light,1.0,0.0,1.0,1.0
36,96,Necrophos,Centaur Warrunner,1.0,0.0,1.0,1.0
83,89,Treant Protector,Naga Siren,2.0,0.0,2.0,1.0
10,136,Morphling,Marci,4.0,0.0,4.0,1.0
36,107,Necrophos,Earth Spirit,4.0,0.0,4.0,1.0
10,120,Morphling,Pangolier,2.0,0.0,2.0,1.0
36,111,Necrophos,Oracle,1.0,0.0,1.0,1.0
100,112,Tusk,Winter Wyvern,2.0,0.0,2.0,1.0
10,109,Morphling,Terrorblade,1.0,0.0,1.0,1.0
100,113,Tusk,Arc Warden,1.0,0.0,1.0,1.0
79,90,Shadow Demon,Keeper of the Light,1.0,0.0,1.0,1.0
9,43,Mirana,Death Prophet,2.0,0.0,2.0,1.0
40,109,Venomancer,Terrorblade,1.0,0.0,1.0,1.0
45,101,Pugna,Skywrath Mage,2.0,0.0,2.0,1.0
45,112,Pugna,Winter Wyvern,1.0,0.0,1.0,1.0
45,120,Pugna,Pangolier,1.0,0.0,1.0,1.0
76,82,Outworld Devourer,Meepo,1.0,0.0,1.0,1.0
76,80,Outworld Devourer,Lone Druid,1.0,0.0,1.0,1.0
75,136,Silencer,Marci,2.0,0.0,2.0,1.0
7,78,Earthshaker,Brewmaster,1.0,0.0,1.0,1.0
46,54,Templar Assassin,Lifestealer,4.0,0.0,4.0,1.0
46,55,Templar Assassin,Dark Seer,1.0,0.0,1.0,1.0
46,56,Templar Assassin,Clinkz,1.0,0.0,1.0,1.0
46,58,Templar Assassin,Enchantress,1.0,0.0,1.0,1.0
46,75,Templar Assassin,Silencer,2.0,0.0,2.0,1.0
75,120,Silencer,Pangolier,3.0,0.0,3.0,1.0
46,114,Templar Assassin,Monkey King,1.0,0.0,1.0,1.0
46,119,Templar Assassin,Dark Willow,1.0,0.0,1.0,1.0
75,113,Silencer,Arc Warden,2.0,0.0,2.0,1.0
45,109,Pugna,Terrorblade,1.0,0.0,1.0,1.0
45,100,Pugna,Tusk,1.0,0.0,1.0,1.0
47,49,Viper,Dragon Knight,2.0,0.0,2.0,1.0
45,95,Pugna,Troll Warlord,1.0,0.0,1.0,1.0
8,15,Juggernaut,Razor,3.0,0.0,3.0,1.0
8,12,Juggernaut,Phantom Lancer,1.0,0.0,1.0,1.0
44,135,Phantom Assassin,Dawnbreaker,2.0,0.0,2.0,1.0
45,52,Pugna,Leshrac,1.0,0.0,1.0,1.0
45,55,Pugna,Dark Seer,1.0,0.0,1.0,1.0
7,135,Earthshaker,Dawnbreaker,1.0,0.0,1.0,1.0
45,57,Pugna,Omniknight,1.0,0.0,1.0,1.0
7,121,Earthshaker,Grimstroke,1.0,0.0,1.0,1.0
45,66,Pugna,Chen,1.0,0.0,1.0,1.0
7,113,Earthshaker,Arc Warden,2.0,0.0,2.0,1.0
45,69,Pugna,Doom,2.0,0.0,2.0,1.0
7,110,Earthshaker,Phoenix,4.0,0.0,4.0,1.0
7,108,Earthshaker,Underlord,3.0,0.0,3.0,1.0
45,80,Pugna,Lone Druid,1.0,0.0,1.0,1.0
45,89,Pugna,Naga Siren,1.0,0.0,1.0,1.0
7,55,Earthshaker,Dark Seer,2.0,0.0,2.0,1.0
75,112,Silencer,Winter Wyvern,2.0,0.0,2.0,1.0
9,38,Mirana,Beastmaster,1.0,0.0,1.0,1.0
48,108,Luna,Underlord,3.0,0.0,3.0,1.0
49,52,Dragon Knight,Leshrac,1.0,0.0,1.0,1.0
49,57,Dragon Knight,Omniknight,1.0,0.0,1.0,1.0
49,62,Dragon Knight,Bounty Hunter,1.0,0.0,1.0,1.0
49,65,Dragon Knight,Batrider,1.0,0.0,1.0,1.0
75,89,Silencer,Naga Siren,1.0,0.0,1.0,1.0
49,81,Dragon Knight,Chaos Knight,2.0,0.0,2.0,1.0
105,107,Techies,Earth Spirit,1.0,0.0,1.0,1.0
105,110,Techies,Phoenix,1.0,0.0,1.0,1.0
49,87,Dragon Knight,Disruptor,4.0,0.0,4.0,1.0
49,88,Dragon Knight,Nyx Assassin,1.0,0.0,1.0,1.0
49,94,Dragon Knight,Medusa,2.0,0.0,2.0,1.0
105,111,Techies,Oracle,2.0,0.0,2.0,1.0
6,91,Drow Ranger,Io,2.0,0.0,2.0,1.0
49,99,Dragon Knight,Bristleback,2.0,0.0,2.0,1.0
49,109,Dragon Knight,Terrorblade,1.0,0.0,1.0,1.0
75,91,Silencer,Io,3.0,0.0,3.0,1.0
48,103,Luna,Elder Titan,1.0,0.0,1.0,1.0
75,111,Silencer,Oracle,2.0,0.0,2.0,1.0
48,102,Luna,Abaddon,5.0,0.0,5.0,1.0
47,78,Viper,Brewmaster,1.0,0.0,1.0,1.0
47,79,Viper,Shadow Demon,1.0,0.0,1.0,1.0
7,37,Earthshaker,Warlock,3.0,0.0,3.0,1.0
47,98,Viper,Timbersaw,1.0,0.0,1.0,1.0
47,101,Viper,Skywrath Mage,6.0,0.0,6.0,1.0
47,102,Viper,Abaddon,2.0,0.0,2.0,1.0
47,107,Viper,Earth Spirit,1.0,0.0,1.0,1.0
47,114,Viper,Monkey King,2.0,0.0,2.0,1.0
75,103,Silencer,Elder Titan,1.0,0.0,1.0,1.0
48,54,Luna,Lifestealer,1.0,0.0,1.0,1.0
48,55,Luna,Dark Seer,1.0,0.0,1.0,1.0
48,75,Luna,Silencer,3.0,0.0,3.0,1.0
48,91,Luna,Io,1.0,0.0,1.0,1.0
48,94,Luna,Medusa,5.0,0.0,5.0,1.0
48,95,Luna,Troll Warlord,1.0,0.0,1.0,1.0
44,89,Phantom Assassin,Naga Siren,4.0,0.0,4.0,1.0
44,82,Phantom Assassin,Meepo,2.0,0.0,2.0,1.0
44,78,Phantom Assassin,Brewmaster,2.0,0.0,2.0,1.0
78,96,Brewmaster,Centaur Warrunner,1.0,0.0,1.0,1.0
41,120,Faceless Void,Pangolier,1.0,0.0,1.0,1.0
78,87,Brewmaster,Disruptor,2.0,0.0,2.0,1.0
78,84,Brewmaster,Ogre Magi,2.0,0.0,2.0,1.0
8,111,Juggernaut,Oracle,2.0,0.0,2.0,1.0
8,109,Juggernaut,Terrorblade,1.0,0.0,1.0,1.0
78,83,Brewmaster,Treant Protector,1.0,0.0,1.0,1.0
42,55,Wraith King,Dark Seer,2.0,0.0,2.0,1.0
77,123,Lycan,Hoodwink,1.0,0.0,1.0,1.0
42,61,Wraith King,Broodmother,3.0,0.0,3.0,1.0
77,106,Lycan,Ember Spirit,1.0,0.0,1.0,1.0
42,77,Wraith King,Lycan,1.0,0.0,1.0,1.0
102,119,Abaddon,Dark Willow,2.0,0.0,2.0,1.0
42,80,Wraith King,Lone Druid,2.0,0.0,2.0,1.0
102,120,Abaddon,Pangolier,1.0,0.0,1.0,1.0
42,83,Wraith King,Treant Protector,4.0,0.0,4.0,1.0
41,113,Faceless Void,Arc Warden,2.0,0.0,2.0,1.0
41,108,Faceless Void,Underlord,8.0,0.0,8.0,1.0
44,72,Phantom Assassin,Gyrocopter,1.0,0.0,1.0,1.0
41,103,Faceless Void,Elder Titan,2.0,0.0,2.0,1.0
40,110,Venomancer,Phoenix,1.0,0.0,1.0,1.0
79,85,Shadow Demon,Undying,1.0,0.0,1.0,1.0
41,44,Faceless Void,Phantom Assassin,2.0,0.0,2.0,1.0
41,45,Faceless Void,Pugna,1.0,0.0,1.0,1.0
41,55,Faceless Void,Dark Seer,1.0,0.0,1.0,1.0
78,128,Brewmaster,Snapfire,2.0,0.0,2.0,1.0
41,57,Faceless Void,Omniknight,4.0,0.0,4.0,1.0
41,58,Faceless Void,Enchantress,2.0,0.0,2.0,1.0
41,61,Faceless Void,Broodmother,1.0,0.0,1.0,1.0
9,22,Mirana,Zeus,2.0,0.0,2.0,1.0
41,67,Faceless Void,Spectre,1.0,0.0,1.0,1.0
41,80,Faceless Void,Lone Druid,3.0,0.0,3.0,1.0
9,16,Mirana,Sand King,5.0,0.0,5.0,1.0
78,112,Brewmaster,Winter Wyvern,1.0,0.0,1.0,1.0
41,89,Faceless Void,Naga Siren,2.0,0.0,2.0,1.0
42,89,Wraith King,Naga Siren,2.0,0.0,2.0,1.0
102,129,Abaddon,Mars,2.0,0.0,2.0,1.0
42,103,Wraith King,Elder Titan,1.0,0.0,1.0,1.0
42,107,Wraith King,Earth Spirit,3.0,0.0,3.0,1.0
43,87,Death Prophet,Disruptor,1.0,0.0,1.0,1.0
76,113,Outworld Devourer,Arc Warden,1.0,0.0,1.0,1.0
43,95,Death Prophet,Troll Warlord,1.0,0.0,1.0,1.0
43,96,Death Prophet,Centaur Warrunner,1.0,0.0,1.0,1.0
43,97,Death Prophet,Magnus,2.0,0.0,2.0,1.0
43,98,Death Prophet,Timbersaw,1.0,0.0,1.0,1.0
43,99,Death Prophet,Bristleback,1.0,0.0,1.0,1.0
43,108,Death Prophet,Underlord,1.0,0.0,1.0,1.0
76,108,Outworld Devourer,Underlord,3.0,0.0,3.0,1.0
43,110,Death Prophet,Phoenix,2.0,0.0,2.0,1.0
43,114,Death Prophet,Monkey King,1.0,0.0,1.0,1.0
103,123,Elder Titan,Hoodwink,1.0,0.0,1.0,1.0
43,121,Death Prophet,Grimstroke,1.0,0.0,1.0,1.0
43,123,Death Prophet,Hoodwink,1.0,0.0,1.0,1.0
43,126,Death Prophet,Void Spirit,1.0,0.0,1.0,1.0
43,86,Death Prophet,Rubick,6.0,0.0,6.0,1.0
8,55,Juggernaut,Dark Seer,1.0,0.0,1.0,1.0
43,78,Death Prophet,Brewmaster,1.0,0.0,1.0,1.0
43,54,Death Prophet,Lifestealer,1.0,0.0,1.0,1.0
77,86,Lycan,Rubick,2.0,0.0,2.0,1.0
8,78,Juggernaut,Brewmaster,1.0,0.0,1.0,1.0
42,113,Wraith King,Arc Warden,1.0,0.0,1.0,1.0
43,44,Death Prophet,Phantom Assassin,3.0,0.0,3.0,1.0
43,47,Death Prophet,Viper,1.0,0.0,1.0,1.0
43,48,Death Prophet,Luna,1.0,0.0,1.0,1.0
43,58,Death Prophet,Enchantress,1.0,0.0,1.0,1.0
43,77,Death Prophet,Lycan,1.0,0.0,1.0,1.0
43,62,Death Prophet,Bounty Hunter,1.0,0.0,1.0,1.0
103,104,Elder Titan,Legion Commander,1.0,0.0,1.0,1.0
43,67,Death Prophet,Spectre,2.0,0.0,2.0,1.0
43,69,Death Prophet,Doom,1.0,0.0,1.0,1.0
43,73,Death Prophet,Alchemist,2.0,0.0,2.0,1.0
43,75,Death Prophet,Silencer,2.0,0.0,2.0,1.0
99,120,Bristleback,Pangolier,1.0,0.0,1.0,1.0
12,22,Phantom Lancer,Zeus,5.0,0.0,5.0,1.0
33,100,Enigma,Tusk,2.0,0.0,2.0,1.0
16,67,Sand King,Spectre,3.0,0.0,3.0,1.0
22,57,Zeus,Omniknight,1.0,0.0,1.0,1.0
16,57,Sand King,Omniknight,2.0,0.0,2.0,1.0
16,56,Sand King,Clinkz,2.0,0.0,2.0,1.0
16,55,Sand King,Dark Seer,1.0,0.0,1.0,1.0
90,108,Keeper of the Light,Underlord,1.0,0.0,1.0,1.0
16,43,Sand King,Death Prophet,3.0,0.0,3.0,1.0
22,73,Zeus,Alchemist,1.0,0.0,1.0,1.0
16,38,Sand King,Beastmaster,1.0,0.0,1.0,1.0
16,37,Sand King,Warlock,3.0,0.0,3.0,1.0
16,33,Sand King,Enigma,1.0,0.0,1.0,1.0
22,89,Zeus,Naga Siren,1.0,0.0,1.0,1.0
22,103,Zeus,Elder Titan,1.0,0.0,1.0,1.0
22,110,Zeus,Phoenix,2.0,0.0,2.0,1.0
15,136,Razor,Marci,3.0,0.0,3.0,1.0
15,135,Razor,Dawnbreaker,3.0,0.0,3.0,1.0
22,53,Zeus,Nature's Prophet,2.0,0.0,2.0,1.0
22,49,Zeus,Dragon Knight,1.0,0.0,1.0,1.0
15,128,Razor,Snapfire,3.0,0.0,3.0,1.0
22,45,Zeus,Pugna,3.0,0.0,3.0,1.0
91,99,Io,Bristleback,1.0,0.0,1.0,1.0
21,65,Windranger,Batrider,1.0,0.0,1.0,1.0
91,98,Io,Timbersaw,1.0,0.0,1.0,1.0
16,96,Sand King,Centaur Warrunner,1.0,0.0,1.0,1.0
21,82,Windranger,Meepo,1.0,0.0,1.0,1.0
21,88,Windranger,Nyx Assassin,1.0,0.0,1.0,1.0
21,92,Windranger,Visage,1.0,0.0,1.0,1.0
91,93,Io,Slark,1.0,0.0,1.0,1.0
16,90,Sand King,Keeper of the Light,1.0,0.0,1.0,1.0
21,107,Windranger,Earth Spirit,2.0,0.0,2.0,1.0
90,135,Keeper of the Light,Dawnbreaker,2.0,0.0,2.0,1.0
90,120,Keeper of the Light,Pangolier,2.0,0.0,2.0,1.0
16,78,Sand King,Brewmaster,1.0,0.0,1.0,1.0
22,34,Zeus,Tinker,1.0,0.0,1.0,1.0
22,38,Zeus,Beastmaster,1.0,0.0,1.0,1.0
22,112,Zeus,Winter Wyvern,1.0,0.0,1.0,1.0
22,135,Zeus,Dawnbreaker,3.0,0.0,3.0,1.0
89,110,Naga Siren,Phoenix,1.0,0.0,1.0,1.0
15,86,Razor,Rubick,2.0,0.0,2.0,1.0
15,80,Razor,Lone Druid,1.0,0.0,1.0,1.0
15,78,Razor,Brewmaster,2.0,0.0,2.0,1.0
23,102,Kunkka,Abaddon,1.0,0.0,1.0,1.0
15,72,Razor,Gyrocopter,1.0,0.0,1.0,1.0
23,108,Kunkka,Underlord,1.0,0.0,1.0,1.0
23,110,Kunkka,Phoenix,3.0,0.0,3.0,1.0
15,67,Razor,Spectre,1.0,0.0,1.0,1.0
15,65,Razor,Batrider,2.0,0.0,2.0,1.0
23,113,Kunkka,Arc Warden,2.0,0.0,2.0,1.0
15,61,Razor,Broodmother,1.0,0.0,1.0,1.0
15,60,Razor,Night Stalker,1.0,0.0,1.0,1.0
89,112,Naga Siren,Winter Wyvern,1.0,0.0,1.0,1.0
15,52,Razor,Leshrac,1.0,0.0,1.0,1.0
15,50,Razor,Dazzle,4.0,0.0,4.0,1.0
25,43,Lina,Death Prophet,1.0,0.0,1.0,1.0
96,129,Centaur Warrunner,Mars,1.0,0.0,1.0,1.0
15,87,Razor,Disruptor,3.0,0.0,3.0,1.0
15,123,Razor,Hoodwink,1.0,0.0,1.0,1.0
15,88,Razor,Nyx Assassin,3.0,0.0,3.0,1.0
15,119,Razor,Dark Willow,1.0,0.0,1.0,1.0
23,29,Kunkka,Tidehunter,1.0,0.0,1.0,1.0
23,38,Kunkka,Beastmaster,1.0,0.0,1.0,1.0
15,111,Razor,Oracle,2.0,0.0,2.0,1.0
23,43,Kunkka,Death Prophet,2.0,0.0,2.0,1.0
15,108,Razor,Underlord,2.0,0.0,2.0,1.0
90,98,Keeper of the Light,Timbersaw,1.0,0.0,1.0,1.0
23,55,Kunkka,Dark Seer,1.0,0.0,1.0,1.0
15,100,Razor,Tusk,2.0,0.0,2.0,1.0
23,77,Kunkka,Lycan,1.0,0.0,1.0,1.0
15,96,Razor,Centaur Warrunner,1.0,0.0,1.0,1.0
15,94,Razor,Medusa,3.0,0.0,3.0,1.0
23,92,Kunkka,Visage,1.0,0.0,1.0,1.0
96,128,Centaur Warrunner,Snapfire,4.0,0.0,4.0,1.0
15,89,Razor,Naga Siren,2.0,0.0,2.0,1.0
96,98,Centaur Warrunner,Timbersaw,1.0,0.0,1.0,1.0
21,61,Windranger,Broodmother,1.0,0.0,1.0,1.0
21,60,Windranger,Night Stalker,3.0,0.0,3.0,1.0
17,107,Storm Spirit,Earth Spirit,1.0,0.0,1.0,1.0
19,45,Tiny,Pugna,1.0,0.0,1.0,1.0
19,47,Tiny,Viper,2.0,0.0,2.0,1.0
19,52,Tiny,Leshrac,1.0,0.0,1.0,1.0
19,56,Tiny,Clinkz,1.0,0.0,1.0,1.0
19,58,Tiny,Enchantress,1.0,0.0,1.0,1.0
19,59,Tiny,Huskar,1.0,0.0,1.0,1.0
19,60,Tiny,Night Stalker,2.0,0.0,2.0,1.0
17,89,Storm Spirit,Naga Siren,1.0,0.0,1.0,1.0
19,63,Tiny,Weaver,4.0,0.0,4.0,1.0
19,65,Tiny,Batrider,1.0,0.0,1.0,1.0
19,69,Tiny,Doom,1.0,0.0,1.0,1.0
19,70,Tiny,Ursa,2.0,0.0,2.0,1.0
95,96,Troll Warlord,Centaur Warrunner,1.0,0.0,1.0,1.0
19,81,Tiny,Chaos Knight,2.0,0.0,2.0,1.0
17,75,Storm Spirit,Silencer,3.0,0.0,3.0,1.0
19,31,Tiny,Lich,1.0,0.0,1.0,1.0
17,108,Storm Spirit,Underlord,2.0,0.0,2.0,1.0
16,108,Sand King,Underlord,3.0,0.0,3.0,1.0
17,109,Storm Spirit,Terrorblade,1.0,0.0,1.0,1.0
18,55,Sven,Dark Seer,1.0,0.0,1.0,1.0
18,37,Sven,Warlock,1.0,0.0,1.0,1.0
94,109,Medusa,Terrorblade,1.0,0.0,1.0,1.0
18,62,Sven,Bounty Hunter,1.0,0.0,1.0,1.0
18,69,Sven,Doom,1.0,0.0,1.0,1.0
18,73,Sven,Alchemist,1.0,0.0,1.0,1.0
18,31,Sven,Lich,2.0,0.0,2.0,1.0
18,79,Sven,Shadow Demon,1.0,0.0,1.0,1.0
18,81,Sven,Chaos Knight,2.0,0.0,2.0,1.0
18,92,Sven,Visage,1.0,0.0,1.0,1.0
18,103,Sven,Elder Titan,1.0,0.0,1.0,1.0
18,19,Sven,Tiny,2.0,0.0,2.0,1.0
94,95,Medusa,Troll Warlord,2.0,0.0,2.0,1.0
18,119,Sven,Dark Willow,1.0,0.0,1.0,1.0
18,136,Sven,Marci,2.0,0.0,2.0,1.0
19,83,Tiny,Treant Protector,2.0,0.0,2.0,1.0
19,90,Tiny,Keeper of the Light,2.0,0.0,2.0,1.0
19,95,Tiny,Troll Warlord,1.0,0.0,1.0,1.0
19,100,Tiny,Tusk,1.0,0.0,1.0,1.0
92,112,Visage,Winter Wyvern,1.0,0.0,1.0,1.0
20,81,Vengeful Spirit,Chaos Knight,1.0,0.0,1.0,1.0
92,107,Visage,Earth Spirit,1.0,0.0,1.0,1.0
92,104,Visage,Legion Commander,2.0,0.0,2.0,1.0
92,101,Visage,Skywrath Mage,1.0,0.0,1.0,1.0
20,95,Vengeful Spirit,Troll Warlord,1.0,0.0,1.0,1.0
20,102,Vengeful Spirit,Abaddon,4.0,0.0,4.0,1.0
20,103,Vengeful Spirit,Elder Titan,1.0,0.0,1.0,1.0
20,106,Vengeful Spirit,Ember Spirit,2.0,0.0,2.0,1.0
91,129,Io,Mars,1.0,0.0,1.0,1.0
